year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,is_month_start,is_month_end,is_year_start,day_of_week,city_iq,city_sj
1990,18,0.1226,0.103725,0.4455146462238924,0.42144596332151524,3.5242020373412193,297.572857143,297.742857143,17.100125312815692,17.314733610425545,295.9,5.656854249492381,73.3657142857,3.5242020373412193,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,4.47213595499958,4.0,0,1,0,0,0,1
1990,19,0.1699,0.142175,0.4029356027952854,0.39431675084885753,4.777028364998475,298.211428571,298.442857143,17.145011769345626,17.34646938140439,296.4,4.235563716909474,77.3685714286,4.777028364998475,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,4.711687595755898,2.932575659723036,0,0,0,0,0,1
1990,20,0.03225,0.1729667,0.3964845520319802,0.41333146504954105,5.877074101966046,298.781428571,298.878571429,17.18820193371023,17.334935823359714,297.3,5.10881590977792,82.0528571429,5.877074101966046,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,4.774934554525329,6.434283176858165,0,0,0,0,0,1
1990,21,0.1286333,0.2450667,0.4770294540172546,0.4856806563988317,3.919183588453085,298.987142857,299.228571429,17.18458611663371,17.360875553957523,297.0,3.7282703764614498,80.3371428571,3.919183588453085,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,4.8270073544588685,2.0,0,0,0,0,0,1
1990,22,0.1962,0.2622,0.5011985634456667,0.49733288650560803,2.7422618401604177,299.518571429,299.664285714,17.199460124405068,17.375269782078206,297.5,3.492849839314596,80.46,2.7422618401604177,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,4.888762624632126,2.4083189157584592,0,0,0,0,0,1
1990,23,0.1422935374167987,0.17485,0.5042958457096389,0.4263131478150774,3.095157508108432,299.63,299.764285714,17.200332222692676,17.389652095427326,298.1,5.146843692983108,79.8914285714,3.095157508108432,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,4.888762624632126,6.252999280345393,0,0,0,0,0,1
1990,24,0.1129,0.0928,0.4528480981521287,0.4585535955589052,1.865475810617763,299.207142857,299.221428571,17.200747492071383,17.35799527595281,297.7,6.212889826803627,82.0,1.865475810617763,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,4.8270073544588685,5.449770637375485,0,0,0,0,0,1
1990,25,0.0725,0.0725,0.38919326818433025,0.3647308596760082,12.293087488503447,299.591428571,299.528571429,17.22008793737709,17.337819932159867,298.4,5.477225575051661,83.3757142857,12.293087488503447,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,4.774934554525329,4.5934736311423405,0,0,0,0,0,1
1990,26,0.10245,0.146175,0.3543605508518125,0.3515679166249389,4.3954521951671826,299.578571429,299.557142857,17.215649027236818,17.381024135533558,297.7,6.124540799113024,82.7685714286,4.3954521951671826,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,4.774934554525329,4.5934736311423405,0,0,0,0,0,1
1990,27,0.1422935374167987,0.12155,0.40085321503014043,0.4500741050093862,3.7960505792204615,300.154285714,300.278571429,17.223571887706683,17.386776584519627,298.7,5.329165037789691,81.2814285714,3.7960505792204615,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,4.9396356140913875,1.0488088481701516,0,0,0,0,0,1
